"id","foodName","path","publicUrl"
"s2e6-suanla-huaziyu","酸辣华子鱼","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e6-suanla-huaziyu.png","/food-images/s2e6-suanla-huaziyu.png"
"s2e6-beihai-chicken","北海沙蟹汁白切鸡","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e6-beihai-chicken.png","/food-images/s2e6-beihai-chicken.png"
"s2e6-hand-lamb","野韭花酱手把羊肉","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e6-hand-lamb.png","/food-images/s2e6-hand-lamb.png"
"s2e6-hongliu-lamb","红柳枝烤羊肉","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e6-hongliu-lamb.png","/food-images/s2e6-hongliu-lamb.png"
"s2e6-yangyu-caca","洋芋擦擦","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e6-yangyu-caca.png","/food-images/s2e6-yangyu-caca.png"
"s2e6-grouper","清蒸石斑鱼","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e6-grouper.png","/food-images/s2e6-grouper.png"
"s2e6-shrimp-wonton","鲜虾云吞","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e6-shrimp-wonton.png","/food-images/s2e6-shrimp-wonton.png"
"s2e7-jianbingguozi","天津煎饼果子","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e7-jianbingguozi.png","/food-images/s2e7-jianbingguozi.png"
"s2e7-guangzhou-yumcha","广州早茶","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e7-guangzhou-yumcha.png","/food-images/s2e7-guangzhou-yumcha.png"
"s2e7-steamed-layufish","蒸腊鱼","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e7-steamed-layufish.png","/food-images/s2e7-steamed-layufish.png"
"s2e7-xiangxiang-egg","湘乡咸鸭蛋","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e7-xiangxiang-egg.png","/food-images/s2e7-xiangxiang-egg.png"
"s2e7-tuotuorou","彝族坨坨肉","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e7-tuotuorou.png","/food-images/s2e7-tuotuorou.png"
"s2e7-suzhou-noodle2","枫镇大肉面","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s2e7-suzhou-noodle2.png","/food-images/s2e7-suzhou-noodle2.png"
"s3e1-qiaomai-baba","荞麦粑粑","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e1-qiaomai-baba.png","/food-images/s3e1-qiaomai-baba.png"
"s3e1-stone-pot-matsutake","石锅松茸","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e1-stone-pot-matsutake.png","/food-images/s3e1-stone-pot-matsutake.png"
"s3e1-shiwan-cai","陕西十碗菜","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e1-shiwan-cai.png","/food-images/s3e1-shiwan-cai.png"
"s3e1-yangzhou-dim","扬州蒸点","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e1-yangzhou-dim.png","/food-images/s3e1-yangzhou-dim.png"
"s3e1-baocao-yaohua","爆炒腰花","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e1-baocao-yaohua.png","/food-images/s3e1-baocao-yaohua.png"
"s3e1-golden-cabbage","金边白菜","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e1-golden-cabbage.png","/food-images/s3e1-golden-cabbage.png"
"s3e2-xidoufen","稀豆粉","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e2-xidoufen.png","/food-images/s3e2-xidoufen.png"
"s3e2-shantou-fishball","汕头手打鱼丸","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e2-shantou-fishball.png","/food-images/s3e2-shantou-fishball.png"
"s3e2-lianggao","凉糕","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e2-lianggao.png","/food-images/s3e2-lianggao.png"
"s3e2-quanzhou-jelly","泉州石花膏","C:\Users\Lenovo\Desktop\A Bite of China\public\food-images\s3e2-quanzhou-jelly.png","/food-images/s3e2-quanzhou-jelly.png"
